raw_name,cleaned_name
European Commission,european commission
United Nations Children's Fund,united nations children s fund
United Nations Development Programme,united nations development programme
United States Agency for International Development,united states agency for international development
Federal Ministry for Economic Cooperation and Development - Germany,federal ministry for economic cooperation and development germany
World Food Programme,world food programme
German Corporation for International Cooperation,deutsche gesellschaft fur internationale zusammenarbeit
United Nations,united nations
Swedish International Development Cooperation Agency,swedish international development cooperation agency
Ministry for Foreign Affairs - Finland,ministry for foreign affairs finland
Italian Agency for Development Cooperation,italian agency for development cooperation
The Global Fund,global fund
Food and Agriculture Organization of the United Nations,food and agriculture organization
World Health Organization,world health organization
Global Affairs - Canada,canadian international development agency
Government of Australia,government of australia
United Nations Population Fund,united nations population fund
Japanese International Cooperation Agency,japanese international cooperation agency
United Nations High Commissioner for Refugees,united nations high commissioner for refugees
European Development Fund,european development fund
International Development Association,international development association
Canadian International Development Agency,canadian international development agency
Ministry of Foreign Affairs - Netherlands,ministry of foreign affairs netherlands
International Organization for Migration,international organization for migration
World Bank,world bank
Norwegian Agency for Development Cooperation,norwegian agency for development cooperation
Swiss Agency for Development and Cooperation,swiss agency for development and cooperation
Department for International Development - United Kingdom,department for international development
International Committee of the Red Cross,international committee of the red cross
International Development Research Centre - Canada,international development research centre canada
Department of Foreign Affairs - Ireland,department of foreign affairs ireland
United Nations Office for Project Services,united nations office for project services
United Nations Office for the Coordination of Humanitarian Affairs,united nations office for the coordination of humanitarian affairs
Directorate-General for Development Cooperation and Humanitarian Aid - Belgium,directorate general for development cooperation and humanitarian aid belgium
Ministry of Foreign Affairs - Japan,ministry of foreign affairs japan
Department of State - United States,department of state united states
International Labour Organization,international labour organization
Ministry of Foreign Affairs - Norway,ministry of foreign affairs norway
International Bank for Reconstruction and Development,international bank for reconstruction and development
KfW Development Bank - Germany,kfw development bank germany
"Gavi, the Vaccine Alliance",gavi the vaccine alliance
Ministry of Foreign Affairs - Denmark,ministry of foreign affairs denmark
United Nations Peacebuilding Fund,united nations peacebuilding fund
Federal Foreign Office - Germany,federal foreign office germany
"Ministry of Economy, Finance and Industrial and Digital Sovereignty - France",ministry of economy finance and industrial and digital sovereignty france
Ministry of Foreign and European Affairs - Luxembourg,ministry of foreign and european affairs luxembourg
French Development Agency,french development agency
International Federation of Red Cross and Red Crescent Societies,international federation of red cross and red crescent societies
Save the Children International,save the children international
Government of Italy,government of italy
Norwegian Refugee Council,norwegian refugee council
Government of Portugal,government of portugal
International Fund for Agricultural Development,international fund for agricultural development
Spanish Agency for International Development Cooperation,spanish agency for international development cooperation
CARE International,care international
International Rescue Committee,international rescue committee
Ministry of Foreign Affairs and International Cooperation - Italy,ministry of foreign affairs and international cooperation italy
UN Women,un women
Chemonics International,chemonics international
Regular Programme Of Technical Cooperation,regular programme of technical cooperation
Ministry of Foreign Affairs - South Korea,ministry of foreign affairs south korea
Action Contre la Faim International,action contre la faim international
Finnish Red Cross,finnish red cross
"Ministry of Foreign Affairs, European Union and Cooperation - Spain",ministry of foreign affairs european union and cooperation spain
Cruz Roja Española,cruz roja espanola
Fonds pour l'environnement mondial,fonds pour l environnement mondial
Natixis,natixis
Consortium for Elections and Political Process Strengthening,consortium for elections and political process strengthening
Austrian Development Agency,austrian development agency
"Foreign, Commonwealth and Development Office - United Kingdom",foreign commonwealth and development office united kingdom
Federal Department of Foreign Affairs - Switzerland,federal department of foreign affairs switzerland
Office of the United Nations High Commissioner for Human Rights,office of the united nations high commissioner for human rights
Finn Church Aid,finn church aid
Kuwait Fund for Arab Economic Development,kuwait fund for arab economic development
Mercy Corps International,mercy corps international
Norges Røde Kors,norges røde kors
Directorate-General for Development Cooperation - Italy,directorate general for development cooperation italy
"United Nations Educational, Scientific and Cultural Organization",united nations educational scientific and cultural organization
Danish Refugee Council,danish refugee council
Swedish Civil Contingencies Agency,swedish civil contingencies agency
United Nations Department of Peace Operations,united nations department of peace operations
FHI 360,fhi 360
OPEC Fund for International Development,opec fund for international development
Oxfam International,oxfam international
Department of Health and Human Services - United States,department of health and human services united states
Asociación Comisión Católica Española de Migraciones,asociacion comision catolica espanola de migraciones
Comisión Española de Ayuda al Refugiado,comision espanola de ayuda al refugiado
"CounterTrade Products, Inc.",countertrade products
Ministry for Europe and Foreign Affairs - France,ministry for europe and foreign affairs france
"Ministry of Labour, Migration and Social Security - Spain",ministry of labour migration and social security spain
Norwegian Church Aid,norwegian church aid
Catholic Relief Services,catholic relief services
United Nations Industrial Development Organization,united nations industrial development organization
Concern Worldwide,concern worldwide
Department of Agriculture - United States,department of agriculture united states
ForumCiv,forumciv
International Medical Corps,international medical corps
United Nations Human Settlements Programme,united nations human settlements programme
World Vision International,world vision
Danish International Development Agency,danish international development agency
European Civil Protection and Humanitarian Aid Operations,european civil protection and humanitarian aid operations
European Investment Bank,european investment bank
Tetra Tech,tetra tech
Médecins Sans Frontieres,medecins sans frontieres
Norwegian People's Aid,norwegian people s aid
Management Systems International,management systems international
Population Services International,population services international
Korea International Cooperation Agency,korea international cooperation agency
Agency for Technical Cooperation and Development,agency for technical cooperation and development
Svenska Röda Korset,svenska roda korset
United Nations Environment Programme,united nations environment programme
Digni,digni
Misean Cara,misean cara
United Nations Office on Drugs and Crime,united nations office on drugs and crime
8xMILLE - Italy,8xmille italy
United Nations Mine Action Service,united nations mine action service
European Union,european union
Camões Institute of Cooperation and Language - Portugal,camoes institute of cooperation and language portugal
Humanity and Inclusion,humanity and inclusion
Embassy of Finland,embassy of finland
"Development Alternatives, Inc.",development alternatives
Export-Import Bank - South Korea,export import bank south korea
International Monetary Fund,international monetary fund
Japan Bank for International Cooperation,japan bank for international cooperation
Dansk Røde Kors,dansk røde kors
Ministry of Finance,ministry of finance
Red Acoge,red acoge
Association of Universities and Colleges of Canada,association of universities and colleges of canada
CARE Canada,care canada
Joint United Nations Programme on HIV/AIDS,joint united nations programme on hiv aids
Search for Common Ground,search for common ground
DanChurchAid,danchurchaid
Redd Barna,redd barna
Development and Peace - Caritas Canada,development and peace caritas canada
Ministry of Foreign Affairs - Czech Republic,ministry of foreign affairs czech republic
Oxfam Quebec,oxfam quebec
World Vision Canada,world vision canada
AECOM,aecom
African Development Bank,african development bank
Swiss Humanitarian Aid Unit,swiss humanitarian aid unit
Artigiancassa,artigiancassa
Canadian Bureau for International Education,canadian bureau for international education
Department of the Interior - United States,department of the interior united states
"Federal Public Service Foreign Affairs, Foreign Trade and Development Cooperation - Belgium",federal public service foreign affairs foreign trade and development cooperation belgium
African Development Fund,african development fund
Canadian Red Cross,canadian red cross
Cassa Depositi e Prestiti - Italy,cassa depositi e prestiti italy
Dexis Consulting Group,dexis consulting group
Svenska Kyrkan,svenska kyrkan
Abt Associates Inc.,abt associates
International Finance Corporation,international finance
National Democratic Institute,national democratic institute
Svenska Missionsförbundet,svenska missionsforbundet
Federal Ministry of Finance - Germany,federal ministry of finance germany
Government of Turkey,government of turkey
Islamic Development Bank,islamic development bank
Norwegian Agency for Exchange Cooperation,norwegian agency for exchange cooperation
Rädda Barnen,radda barnen
Vía Directa,via directa
Embassy of Canada,embassy of canada
John Snow International,john snow international
Svenska Missionsrådet,svenska missionsradet
Coady Institute - Saint Francis Xavier University,coady institute saint francis xavier university
Management Sciences for Health,management sciences for health
"Social Solutions International, Inc.",social solutions international
Arab Bank for Economic Development in Africa,arab bank for economic development in africa
Trócaire,trocaire
Abu Dhabi Fund for Development - United Arab Emirates,abu dhabi fund for development united arab emirates
Adventist Development and Relief Agency International,adventist development and relief agency international
Community of Pais Vasco o Euskadi - Spain,community of pais vasco o euskadi spain
Government of Flanders - Belgium,government of flanders belgium
Government of Japan,government of japan
Federal Public Service Finance - Belgium,federal public service finance belgium
Mines Advisory Group,mines advisory group
Jhpiego,jhpiego
Red Barnet,red barnet
Strømmestiftelsen,strømmestiftelsen
Deloitte,deloitte
Grand Challenges Canada,grand challenges canada
Least Developed Countries Trust Fund (LDCF),least developed countries trust fund ldcf
Pingstmissionens Utvecklingssamarbete,pingstmissionens utvecklingssamarbete
Social Impact,social impact
Swedish Research Council,swedish research council
Plan International Canada,plan international canada
United Nations Department of Political and Peacebuilding Affairs,united nations department of political and peacebuilding affairs
Adoratrices Esclavas del Santísimo Sacramento y de la Caridad,adoratrices esclavas del santisimo sacramento y de la caridad
CARE Norge,care norge
Diakonia,diakonia
Fundación La Merced Migraciones,fundacion la merced migraciones
"Ministry of Education, Life Long Learning, and Religious Affairs - Greece",ministry of education life long learning and religious affairs greece
Abilis Foundation,abilis foundation
