cleaned_name,n_raw_variants,raw_variants
00717 direccion general para la aten,1,00717 - DIRECCION GENERAL PARA LA ATEN
11 11 11,1,11.11.11
1doc3,1,1DOC3
1libya,1,1Libya
80 20 educating and acting for a better world,1,80:20 Educating and Acting for a Better World
8xmille italy,1,8xMILLE - Italy
a p moller maersk,1,A.P. Moller - Maersk
aamin organization somalia,1,AAMIN Organization Somalia
aamin voluntary and relief organization,1,Aamin Voluntary and Relief Organization
abaad – resource center for gender equality,1,ABAAD – Resource Center for Gender Equality
abaarso network,1,Abaarso Network
abbal,1,ABBAL
abdelkarim mirghani cultural centre,1,Abdelkarim Mirghani Cultural Centre
abi musa al ash ari charitable society,1,Abi Musa Al-Ash'ari Charitable Society
abilis foundation,1,Abilis Foundation
abjad center for studies and development,1,ABJAD Center for Studies and Development
abrwanda,1,ABRwanda
abt associates,1,Abt Associates Inc.
abu dhabi department of finance united arab emirates,1,Abu Dhabi Department of Finance - United Arab Emirates
abu dhabi fund for development united arab emirates,1,Abu Dhabi Fund for Development - United Arab Emirates
abyrint,1,Abyrint
academie de recherche et d enseignement superieur,1,Académie de Recherche et d'Enseignement supérieur
academie libanaise des beaux arts,1,Academie Libanaise des Beaux-Arts
academy for development advocacy of minorities,1,Academy for Development & Advocacy of Minorities
academy for educational development,1,Academy for Educational Development
academy of development science,1,Academy of Development Science
acarpin,1,Acarpin
accion international,1,ACCION International
accion solidaria aragonesa,1,Acción Solidaria Aragonesa
accountability lab,1,Accountability Lab
accountable development works,1,Accountable Development Works
ace secet,1,ACE SECET
aco marine,1,ACO Marine
aconda vs cote d ivoire,1,ACONDA VS Côte d'Ivoire
acqua per la vita,1,Acqua per la Vita
act church of sweden,1,Act Church of Sweden
act for the disappeared,1,Act for the Disappeared
act up,1,ACT UP
acte de sensibilisation d’education et de promotion theatrale,1,"Acte de Sensibilisation, d’Education et de Promotion Théâtrale"
action against hunger canada,1,Action Against Hunger Canada
action contre la faim canada,1,Action Contre la Faim Canada
action contre la faim international,1,Action Contre la Faim International
action contre la faim spain,1,Action Contre la Faim - Spain
action damien,1,Action Damien
action de lutte contre la malaria,1,Action de Lutte contre la Malaria
action on armed violence,1,Action on Armed Violence
action plus,1,Action Plus
action pour la cooperation avec la micro entreprise sa,1,Action pour la Coopération avec la Micro Entreprise SA
action pour la developpement sos faim,1,Action pour la développement - SOS Faim
action pour la protection des droits de l homme,1,Action Pour la Protection des Droits de l'Homme
action pour le developpement et contre la pauvrete au sahel,1,Action pour le Développement et Contre la Pauvreté au Sahel
actionaid,1,ActionAid
actionaid international italy onlus,1,ActionAid International Italy Onlus
