name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
ministere de l industrie et du commerce,ministere du commerce et de l industrie,100.0,76.2,ministere de l industrie et du commerce,token_sort,Ministère de l'Industrie et du Commerce,Ministère du Commerce et de l'Industrie
ministry of irrigation and water resources,ministry of water resources and irrigation,100.0,78.3,ministry of water resources and irrigation,token_sort,Ministry of Irrigation and Water Resources,Ministry of Water Resources and Irrigation
ministere des travaux publics transports et communications,ministre des travaux publics transports et communications,99.1,98.2,ministere des travaux publics transports et communications,token_sort,"Ministère des Travaux Publics, Transports et Communications","Ministre des Travaux Publics, Transports et Communications"
programme national de lutte contre le paludisme,programme nationale de lutte contre le paludisme,98.9,97.9,programme national de lutte contre le paludisme,token_sort,Programme National de Lutte contre le Paludisme,Programme Nationale De Lutte Contre Le Paludisme
international legal assisitance consortium,international legal assistance consortium,98.8,97.6,international legal assisitance consortium,token_sort,International Legal Assisitance Consortium,International Legal Assistance Consortium
fond d assistance economique et sociale,fonds d assistance economique et sociale,98.7,97.4,fond d assistance economique et sociale,token_sort,Fond d'Assistance Economique et Sociale,Fonds d'Assistance Economique et Sociale
ministry of labour and social affairs,ministry of social affairs and labor,98.6,69.4,ministry of social affairs and labor,token_sort,Ministry of Labour and Social Affairs,Ministry of Social Affairs and Labor
coordinamento delle organizzazione per il servizio volontario,coordinamento delle organizzazioni per il servizio volontario,98.4,98.4,coordinamento delle organizzazione per il servizio volontario,token_sort,Coordinamento delle Organizzazione per il Servizio Volontario,Coordinamento delle Organizzazioni per il Servizio Volontario
ministerio dos transportes e comunicacoes,ministro dos transportes e comunicacoes,97.5,94.9,ministro dos transportes e comunicacoes,token_sort,Ministério dos Transportes e Comunicações,Ministro dos Transportes e Comunicações
ministere des travaux publics et de l entretien routier,ministre des travaux publics et de i entretien routier,97.2,96.3,ministere des travaux publics et de l entretien routier,token_sort,Ministère des Travaux Publics et de l'Entretien Routier,Ministre des Travaux Publics et de I'Entretien Routier
center on international cooperation,centre on international cooperation,97.1,97.1,centre on international cooperation,token_sort,Center on International Cooperation,Centre on International Cooperation
upa developpement international,upa international development,96.7,65.2,upa international development,token_sort,UPA Développement International,UPA International Development
federal ministry for climate action environment energy mobility innovation and technology austria,federal ministry of climate action environment energy mobility innovation and technology austria,96.4,97.9,federal ministry of climate action environment energy mobility innovation and technology austria,token_sort,"Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation, and Technology - Austria","Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation and Technology - Austria"
unite technique d execution,unite technique d’execution,96.3,96.3,unite technique d execution,token_sort,Unité Technique d'Exécution,Unité Technique d’Exécution
office of the united nations high commissioner for human rights,office of the united nations high commissioner for human rights cork,96.2,100.0,office of the united nations high commissioner for human rights,token_sort,Office of the United Nations High Commissioner for Human Rights,Office of the United Nations High Commissioner for Human Rights - Cork
ministry of foreign and european affairs slovakia,ministry of foreign and european affairs slovenia,95.9,96.8,ministry of foreign and european affairs slovenia,token_sort,Ministry of Foreign and European Affairs - Slovakia,Ministry of Foreign and European Affairs - Slovenia
government of australia,government of austria,95.5,97.6,government of australia,token_sort,Government of Australia,Government of Austria
ministerio das financas,ministro das financas,95.5,90.5,ministerio das financas,token_sort,Ministério das Finanças,Ministro das Finanças
universita degli studi di roma tre,universita degli studi roma tre,95.4,90.3,universita degli studi di roma tre,token_sort,Università degli Studi di Roma Tre,Universita degli Studi Roma Tre
oltre radio,oltreradio,95.2,90.0,oltreradio,token_sort,Oltre Radio,Oltreradio
international research and exchanges board,international research exchanges board,95.0,89.5,international research exchanges board,token_sort,International Research and Exchanges Board,International Research & Exchanges Board
ministry of foreign affairs and international cooperation,ministry of foreign affairs and international cooperation italy,95.0,100.0,ministry of foreign affairs and international cooperation italy,token_sort,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs and International Cooperation - Italy
public international law and policy group,public international law policy group,94.9,89.2,public international law policy group,token_sort,Public & International Law and Policy Group|Public International Law and Policy Group,Public International Law & Policy Group
ministry of technical education and vocational training,ministry of technical education and vocational training yemen,94.8,100.0,ministry of technical education and vocational training,token_sort,Ministry of Technical Education and Vocational Training,Ministry of Technical Education and Vocational Training - Yemen
benevolence coalition for humanitarian relief,benevolence coalition for humanitarian relief aden,94.7,100.0,benevolence coalition for humanitarian relief,token_sort,Benevolence Coalition for Humanitarian Relief,Benevolence Coalition for Humanitarian Relief Aden
international medical corps,international medical corps uk,94.7,100.0,international medical corps,token_sort,International Medical Corps,International Medical Corps UK
community of canarias spain,community of cantabria spain,94.5,92.6,community of cantabria spain,token_sort,Community of Canarias - Spain,Community of Cantabria - Spain
ministry of higher education and scientific research,ministry of higher education and scientific research sudan,94.5,100.0,ministry of higher education and scientific research,token_sort,Ministry of Higher Education and Scientific Research,Ministry of Higher Education and Scientific Research - Sudan
ministry of public works transport,ministry of transport and public works,94.4,76.4,ministry of transport and public works,token_sort,Ministry of Public Works & Transport,Ministry of Transport and Public Works
ministry of labour migration and social security,ministry of labour migration and social security spain,94.1,100.0,ministry of labour migration and social security spain,token_sort,"Ministry of Labour, Migration and Social Security","Ministry of Labour, Migration and Social Security - Spain"
united nations development programme,united nations development programme mali,93.5,100.0,united nations development programme,token_sort,United Nations Development Programme,United Nations Development Programme Mali
united nations development programme south sudan,united nations development programme sudan,93.3,95.1,united nations development programme sudan,token_sort,United Nations Development Programme South Sudan,United Nations Development Programme Sudan
ministry of finance and economic planning,ministry of finance and economic planning sudan,93.2,100.0,ministry of finance and economic planning,token_sort,Ministry of Finance and Economic Planning,Ministry of Finance and Economic Planning - Sudan
ministere de l environnement,ministere de l’environnement,92.9,96.4,ministere de l environnement,token_sort,Ministère de l'Environnement,Ministère de l’Environnement
united nations development programme sudan,united nations development programme syria,92.9,95.0,united nations development programme sudan,token_sort,United Nations Development Programme Sudan,United Nations Development Programme Syria
government of netherlands,government of the netherlands,92.6,84.0,government of netherlands,token_sort,Government of Netherlands,Government of the Netherlands
ministry of public health,ministry of public health drc,92.6,100.0,ministry of public health,token_sort,Ministry of Public Health,Ministry of Public Health - DRC
adventist development and relief agency canada,adventist development and relief agency danmark,92.5,95.5,adventist development and relief agency canada,token_sort,Adventist Development and Relief Agency Canada,Adventist Development and Relief Agency Danmark
ministry of energy water resources and irrigation,ministry of irrigation and water resources,92.3,78.9,ministry of energy water resources and irrigation,token_sort,"Ministry of Energy, Water Resources and Irrigation",Ministry of Irrigation and Water Resources
