"file","n_networks","n_renamed","n_merged"
"bdi_result_crs.Rds",16,3485,9
"car_result_crs.Rds",16,1801,12
"cdi_result_crs.Rds",16,2272,9
"chad_result_crs.Rds",16,746,3
"col_result_crs.Rds",16,4111,20
"gb_result_crs.Rds",16,1391,9
"hti_result_crs.Rds",16,2730,28
"lbn_result_crs.Rds",16,4430,15
"lib_result_crs.Rds",16,1265,1
"mali_result_crs.Rds",16,5043,16
"mmr_result_crs.Rds",16,2541,4
"npl_result_crs.Rds",16,1934,16
"sdn_result_crs.Rds",16,3279,9
"sle_result_crs.Rds",16,1831,10
"som_result_crs.Rds",16,2738,6
"ssud_result_crs.Rds",16,3090,19
"syr_result_crs.Rds",16,2267,7
"tls_result_crs.Rds",16,1458,7
"yem_result_crs.Rds",16,2639,9
