raw_name,canonical_name,match_type
&PROUD,proud,exact
00717 - DIRECCION GENERAL PARA LA ATEN,00717 direccion general para la aten,exact
11.11.11,11 11 11,exact
1DOC3,1doc3,exact
1Libya,1libya,exact
80:20 Educating and Acting for a Better World,80 20 educating and acting for a better world,exact
8xMILLE - Italy,8xmille italy,exact
A.P. Moller - Maersk,a p moller maersk,exact
AAMIN Organization Somalia,aamin organization somalia,exact
ABAAD – Resource Center for Gender Equality,abaad – resource center for gender equality,exact
ABBAL,abbal,exact
ABJAD Center for Studies and Development,abjad center for studies and development,exact
ABRwanda,abrwanda,exact
ACCION International,accion international,exact
ACE SECET,ace secet,exact
ACO Marine,aco marine,exact
ACONDA VS Côte d'Ivoire,aconda vs cote d ivoire,exact
ACT UP,act up,exact
AECE E,aece e,exact
AECOM,aecom,exact
AESCO,aesco,exact
AFLAMUNA,aflamuna,exact
AGRHYMET Regional Centre,agrhymet regional centre,exact
"AIDA, Ayuda, Intercambio y Desarrollo",aida ayuda intercambio y desarrollo,exact
AKIS International,akis international,exact
ALIMA,alima,exact
ALINIHA Self-Managed Association of Kobokoro,aliniha self managed association of kobokoro,exact
AMREF Health Africa - Spain,amref health africa spain,exact
ARCHiNOS Architecture,archinos architecture,exact
ARCS Culture Solidali,arcs culture solidali,exact
ARGEkultur Salzburg,argekultur salzburg,exact
ARK International,ark international,exact
ASOCIACIÓN PROYDE,asociacion proyde,exact
ASSOPRO Maramvya,assopro maramvya,exact
ASTAD International LLC,astad international,exact
AT&T,at t,exact
ATABAL Foundation for Development Cooperation,atabal foundation for development cooperation,exact
AVSI Alto Adige,avsi alto adige,exact
AVSI Foundation,avsi foundation,exact
AVSI Kenya,avsi kenya,exact
Aamin Voluntary and Relief Organization,aamin voluntary and relief organization,exact
Abaarso Network,abaarso network,exact
Abdelkarim Mirghani Cultural Centre,abdelkarim mirghani cultural centre,exact
Abi Musa Al-Ash'ari Charitable Society,abi musa al ash ari charitable society,exact
Abilis Foundation,abilis foundation,exact
Abt Associates Inc.,abt associates,exact
Abu Dhabi Department of Finance - United Arab Emirates,abu dhabi department of finance united arab emirates,exact
Abu Dhabi Fund for Development - United Arab Emirates,abu dhabi fund for development united arab emirates,exact
Abyrint,abyrint,exact
Academie Libanaise des Beaux-Arts,academie libanaise des beaux arts,exact
Academy for Development & Advocacy of Minorities,academy for development advocacy of minorities,exact
Academy for Educational Development,academy for educational development,exact
Academy of Development Science,academy of development science,exact
Académie de Recherche et d'Enseignement supérieur,academie de recherche et d enseignement superieur,exact
Acarpin,acarpin,exact
Acción Solidaria Aragonesa,accion solidaria aragonesa,exact
Accountability Lab,accountability lab,exact
Accountable Development Works,accountable development works,exact
Acqua per la Vita,acqua per la vita,exact
Act Church of Sweden,act church of sweden,exact
Act for the Disappeared,act for the disappeared,exact
"Acte de Sensibilisation, d’Education et de Promotion Théâtrale",acte de sensibilisation d’education et de promotion theatrale,exact
Action Against Hunger Canada,action against hunger canada,exact
Action Contre la Faim - Spain,action contre la faim spain,exact
Action Contre la Faim Canada,action contre la faim canada,exact
Action Contre la Faim International,action contre la faim international,exact
Action Damien,action damien,exact
Action Plus,action plus,exact
Action Pour la Protection des Droits de l'Homme,action pour la protection des droits de l homme,exact
Action de Lutte contre la Malaria,action de lutte contre la malaria,exact
Action on Armed Violence,action on armed violence,exact
Action pour la Coopération avec la Micro Entreprise SA,action pour la cooperation avec la micro entreprise sa,exact
Action pour la développement - SOS Faim,action pour la developpement sos faim,exact
Action pour le Développement et Contre la Pauvreté au Sahel,action pour le developpement et contre la pauvrete au sahel,exact
ActionAid,actionaid,exact
ActionAid International Italy Onlus,actionaid international italy onlus,exact
ActionAid Myanmar,actionaid myanmar,exact
Acuity International,acuity international,exact
Acumen Fund Inc.,acumen fund,exact
Adam Smith International,adam smith international,exact
Adaptation Fund,adaptation fund,exact
Aden Ring Road Stage (I),aden ring road stage i,exact
Administración Temporal de Agua Potable y Saneamiento Básico,administracion temporal de agua potable y saneamiento basico,exact
Adopsjonsforum,adopsjonsforum,exact
