"raw_name","n_states","n_years","first_year","last_year","n_appearances"
"European Commission",19,16,2005,2020,276
"United Nations Children's Fund",19,16,2005,2020,271
"United Nations Development Programme",19,16,2005,2020,268
"United States Agency for International Development",19,16,2005,2020,263
"Federal Ministry for Economic Cooperation and Development - Germany",19,16,2005,2020,256
"World Food Programme",19,16,2005,2020,255
"German Corporation for International Cooperation",19,16,2005,2020,250
"United Nations",19,16,2005,2020,242
"Swedish International Development Cooperation Agency",19,16,2005,2020,237
"Ministry for Foreign Affairs - Finland",17,16,2005,2020,232
"Italian Agency for Development Cooperation",18,16,2005,2020,224
"The Global Fund",17,16,2005,2020,224
"Food and Agriculture Organization of the United Nations",19,16,2005,2020,222
"World Health Organization",19,16,2005,2020,221
"Global Affairs - Canada",19,16,2005,2020,218
"Government of Australia",19,16,2005,2020,215
"United Nations Population Fund",19,16,2005,2020,205
"Japanese International Cooperation Agency",19,16,2005,2020,202
"United Nations High Commissioner for Refugees",19,16,2005,2020,199
"European Development Fund",14,16,2005,2020,197
"International Development Association",16,16,2005,2020,194
"Canadian International Development Agency",17,16,2005,2020,191
"Ministry of Foreign Affairs - Netherlands",18,16,2005,2020,190
"International Organization for Migration",19,16,2005,2020,189
"World Bank",18,16,2005,2020,187
"Norwegian Agency for Development Cooperation",17,16,2005,2020,185
"Swiss Agency for Development and Cooperation",17,16,2005,2020,184
"Department for International Development - United Kingdom",18,16,2005,2020,182
"International Committee of the Red Cross",19,16,2005,2020,182
"International Development Research Centre - Canada",18,16,2005,2020,180
"Department of Foreign Affairs - Ireland",19,16,2005,2020,174
"United Nations Office for Project Services",15,16,2005,2020,170
"United Nations Office for the Coordination of Humanitarian Affairs",16,16,2005,2020,170
"Directorate-General for Development Cooperation and Humanitarian Aid - Belgium",17,16,2005,2020,168
"Ministry of Foreign Affairs - Japan",17,16,2005,2020,168
"Department of State - United States",19,16,2005,2020,167
"International Labour Organization",18,14,2007,2020,166
"Ministry of Foreign Affairs - Norway",16,16,2005,2020,165
"International Bank for Reconstruction and Development",16,16,2005,2020,163
"KfW Development Bank - Germany",17,16,2005,2020,156
"Gavi, the Vaccine Alliance",16,16,2005,2020,153
"Ministry of Foreign Affairs - Denmark",16,15,2006,2020,152
"United Nations Peacebuilding Fund",18,16,2005,2020,150
"Federal Foreign Office - Germany",17,16,2005,2020,144
"Ministry of Economy, Finance and Industrial and Digital Sovereignty - France",16,16,2005,2020,144
"Ministry of Foreign and European Affairs - Luxembourg",18,16,2005,2020,142
"French Development Agency",11,16,2005,2020,137
"International Federation of Red Cross and Red Crescent Societies",17,16,2005,2020,135
"Save the Children International",17,16,2005,2020,135
"Government of Italy",19,16,2005,2020,134
"Norwegian Refugee Council",16,16,2005,2020,134
"Government of Portugal",16,16,2005,2020,133
"International Fund for Agricultural Development",16,16,2005,2020,131
"Spanish Agency for International Development Cooperation",17,16,2005,2020,128
"CARE International",15,16,2005,2020,127
"International Rescue Committee",16,16,2005,2020,127
"Ministry of Foreign Affairs and International Cooperation - Italy",14,16,2005,2020,126
"UN Women",17,16,2005,2020,125
"Chemonics International",13,16,2005,2020,124
"Regular Programme Of Technical Cooperation",17,14,2007,2020,124
"Ministry of Foreign Affairs - South Korea",17,16,2005,2020,122
"Action Contre la Faim International",17,16,2005,2020,120
"Finnish Red Cross",14,16,2005,2020,120
"Ministry of Foreign Affairs, European Union and Cooperation - Spain",16,16,2005,2020,118
"Cruz Roja Española",16,14,2007,2020,113
"Fonds pour l'environnement mondial",17,16,2005,2020,112
"Natixis",8,16,2005,2020,111
"Consortium for Elections and Political Process Strengthening",18,16,2005,2020,108
"Austrian Development Agency",13,16,2005,2020,107
"Foreign, Commonwealth and Development Office - United Kingdom",16,15,2006,2020,107
"Federal Department of Foreign Affairs - Switzerland",16,16,2005,2020,106
"Office of the United Nations High Commissioner for Human Rights",15,16,2005,2020,105
"Finn Church Aid",10,16,2005,2020,104
"Kuwait Fund for Arab Economic Development",15,11,2010,2020,104
"Mercy Corps International",13,16,2005,2020,103
"Norges Røde Kors",14,15,2006,2020,102
"Directorate-General for Development Cooperation - Italy",13,16,2005,2020,100
"United Nations Educational, Scientific and Cultural Organization",16,13,2007,2020,100
"Danish Refugee Council",13,15,2006,2020,99
"Swedish Civil Contingencies Agency",14,12,2009,2020,99
"United Nations Department of Peace Operations",13,16,2005,2020,98
"FHI 360",11,16,2005,2020,97
"OPEC Fund for International Development",15,15,2006,2020,96
"Oxfam International",14,14,2007,2020,95
"Department of Health and Human Services - United States",15,15,2005,2020,93
"Asociación Comisión Católica Española de Migraciones",15,9,2012,2020,92
