name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
ministere de l industrie et du commerce,ministere du commerce et de l industrie,100.0,76.2,no,ministere de l industrie et du commerce,coder_rejected,Ministère de l'Industrie et du Commerce,Ministère du Commerce et de l'Industrie
ministry of irrigation and water resources,ministry of water resources and irrigation,100.0,78.3,no,ministry of water resources and irrigation,coder_rejected,Ministry of Irrigation and Water Resources,Ministry of Water Resources and Irrigation
ministere des travaux publics transports et communications,ministre des travaux publics transports et communications,99.1,98.2,yes,ministere des travaux publics transports et communications,coder_approved,"Ministère des Travaux Publics, Transports et Communications","Ministre des Travaux Publics, Transports et Communications"
programme national de lutte contre le paludisme,programme nationale de lutte contre le paludisme,98.9,97.9,no,programme national de lutte contre le paludisme,coder_rejected,Programme National de Lutte contre le Paludisme,Programme Nationale De Lutte Contre Le Paludisme
international legal assisitance consortium,international legal assistance consortium,98.8,97.6,yes,international legal assistance consortium,coder_approved,International Legal Assisitance Consortium,International Legal Assistance Consortium
fond d assistance economique et sociale,fonds d assistance economique et sociale,98.7,97.4,yes,fonds d assistance economique et sociale,coder_approved,Fond d'Assistance Economique et Sociale,Fonds d'Assistance Economique et Sociale
ministry of labour and social affairs,ministry of social affairs and labor,98.6,69.4,no,ministry of social affairs and labor,coder_rejected,Ministry of Labour and Social Affairs,Ministry of Social Affairs and Labor
coordinamento delle organizzazione per il servizio volontario,coordinamento delle organizzazioni per il servizio volontario,98.4,98.4,no,coordinamento delle organizzazione per il servizio volontario,coder_rejected,Coordinamento delle Organizzazione per il Servizio Volontario,Coordinamento delle Organizzazioni per il Servizio Volontario
ministerio dos transportes e comunicacoes,ministro dos transportes e comunicacoes,97.5,94.9,no,ministro dos transportes e comunicacoes,coder_rejected,Ministério dos Transportes e Comunicações,Ministro dos Transportes e Comunicações
ministere des travaux publics et de l entretien routier,ministre des travaux publics et de i entretien routier,97.2,96.3,yes,ministere des travaux publics et de l entretien routier,coder_approved,Ministère des Travaux Publics et de l'Entretien Routier,Ministre des Travaux Publics et de I'Entretien Routier
center on international cooperation,centre on international cooperation,97.1,97.1,no,centre on international cooperation,coder_rejected,Center on International Cooperation,Centre on International Cooperation
upa developpement international,upa international development,96.7,65.2,no,upa international development,coder_rejected,UPA Développement International,UPA International Development
federal ministry for climate action environment energy mobility innovation and technology austria,federal ministry of climate action environment energy mobility innovation and technology austria,96.4,97.9,no,federal ministry of climate action environment energy mobility innovation and technology austria,coder_rejected,"Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation, and Technology - Austria","Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation and Technology - Austria"
unite technique d execution,unite technique d’execution,96.3,96.3,no,unite technique d execution,coder_rejected,Unité Technique d'Exécution,Unité Technique d’Exécution
office of the united nations high commissioner for human rights,office of the united nations high commissioner for human rights cork,96.2,100.0,no,office of the united nations high commissioner for human rights cork,coder_rejected,Office of the United Nations High Commissioner for Human Rights,Office of the United Nations High Commissioner for Human Rights - Cork
ministry of foreign and european affairs slovakia,ministry of foreign and european affairs slovenia,95.9,96.8,no,ministry of foreign and european affairs slovenia,country_name_swap,Ministry of Foreign and European Affairs - Slovakia,Ministry of Foreign and European Affairs - Slovenia
government of australia,government of austria,95.5,97.6,no,government of australia,country_name_swap,Government of Australia,Government of Austria
ministerio das financas,ministro das financas,95.5,90.5,no,ministerio das financas,coder_rejected,Ministério das Finanças,Ministro das Finanças
universita degli studi di roma tre,universita degli studi roma tre,95.4,90.3,no,universita degli studi di roma tre,coder_rejected,Università degli Studi di Roma Tre,Universita degli Studi Roma Tre
oltre radio,oltreradio,95.2,90.0,no,oltreradio,coder_rejected,Oltre Radio,Oltreradio
international research and exchanges board,international research exchanges board,95.0,89.5,no,international research exchanges board,coder_rejected,International Research and Exchanges Board,International Research & Exchanges Board
ministry of foreign affairs and international cooperation,ministry of foreign affairs and international cooperation italy,95.0,100.0,no,ministry of foreign affairs and international cooperation italy,differentiating_word,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs and International Cooperation - Italy
public international law and policy group,public international law policy group,94.9,89.2,no,public international law policy group,coder_rejected,Public & International Law and Policy Group|Public International Law and Policy Group,Public International Law & Policy Group
ministry of technical education and vocational training,ministry of technical education and vocational training yemen,94.8,100.0,no,ministry of technical education and vocational training yemen,coder_rejected,Ministry of Technical Education and Vocational Training,Ministry of Technical Education and Vocational Training - Yemen
benevolence coalition for humanitarian relief,benevolence coalition for humanitarian relief aden,94.7,100.0,no,benevolence coalition for humanitarian relief aden,coder_rejected,Benevolence Coalition for Humanitarian Relief,Benevolence Coalition for Humanitarian Relief Aden
international medical corps,international medical corps uk,94.7,100.0,no,international medical corps,differentiating_word,International Medical Corps,International Medical Corps UK
community of canarias spain,community of cantabria spain,94.5,92.6,no,community of cantabria spain,coder_rejected,Community of Canarias - Spain,Community of Cantabria - Spain
ministry of higher education and scientific research,ministry of higher education and scientific research sudan,94.5,100.0,no,ministry of higher education and scientific research sudan,coder_rejected,Ministry of Higher Education and Scientific Research,Ministry of Higher Education and Scientific Research - Sudan
ministry of public works transport,ministry of transport and public works,94.4,76.4,no,ministry of transport and public works,coder_rejected,Ministry of Public Works & Transport,Ministry of Transport and Public Works
ministry of labour migration and social security,ministry of labour migration and social security spain,94.1,100.0,no,ministry of labour migration and social security spain,differentiating_word,"Ministry of Labour, Migration and Social Security","Ministry of Labour, Migration and Social Security - Spain"
united nations development programme,united nations development programme mali,93.5,100.0,no,united nations development programme mali,coder_rejected,United Nations Development Programme,United Nations Development Programme Mali
united nations development programme south sudan,united nations development programme sudan,93.3,95.1,no,united nations development programme sudan,differentiating_word,United Nations Development Programme South Sudan,United Nations Development Programme Sudan
ministry of finance and economic planning,ministry of finance and economic planning sudan,93.2,100.0,no,ministry of finance and economic planning sudan,coder_rejected,Ministry of Finance and Economic Planning,Ministry of Finance and Economic Planning - Sudan
ministere de l environnement,ministere de l’environnement,92.9,96.4,no,ministere de l environnement,coder_rejected,Ministère de l'Environnement,Ministère de l’Environnement
united nations development programme sudan,united nations development programme syria,92.9,95.0,no,united nations development programme sudan,country_name_swap,United Nations Development Programme Sudan,United Nations Development Programme Syria
government of netherlands,government of the netherlands,92.6,84.0,no,government of netherlands,coder_rejected,Government of Netherlands,Government of the Netherlands
ministry of public health,ministry of public health drc,92.6,100.0,no,ministry of public health drc,coder_rejected,Ministry of Public Health,Ministry of Public Health - DRC
adventist development and relief agency canada,adventist development and relief agency danmark,92.5,95.5,no,adventist development and relief agency canada,country_name_swap,Adventist Development and Relief Agency Canada,Adventist Development and Relief Agency Danmark
ministry of energy water resources and irrigation,ministry of irrigation and water resources,92.3,78.9,no,ministry of energy water resources and irrigation,coder_rejected,"Ministry of Energy, Water Resources and Irrigation",Ministry of Irrigation and Water Resources
ministry of energy water resources and irrigation,ministry of water resources and irrigation,92.3,87.2,no,ministry of water resources and irrigation,coder_rejected,"Ministry of Energy, Water Resources and Irrigation",Ministry of Water Resources and Irrigation
united nations development programme,united nations development programme sudan,92.3,100.0,no,united nations development programme sudan,coder_rejected,United Nations Development Programme,United Nations Development Programme Sudan
united nations development programme,united nations development programme syria,92.3,100.0,no,united nations development programme syria,coder_rejected,United Nations Development Programme,United Nations Development Programme Syria
universita degli studi di trento,universita degli studi di trieste,92.3,93.8,no,universita degli studi di trento,country_name_swap,Università degli Studi di Trento,Università degli Studi di Trieste
pan american development foundation,pan american development foundation haiti,92.1,100.0,no,pan american development foundation haiti,coder_rejected,Pan American Development Foundation,Pan American Development Foundation Haiti
embassy of the republic of poland in amman,embassy of the republic of poland in damascus,92.0,96.4,no,embassy of the republic of poland in damascus,country_name_swap,Embassy of the Republic of Poland in Amman,Embassy of the Republic of Poland in Damascus
ministry of science and higher education,ministry of science and higher education poland,92.0,100.0,no,ministry of science and higher education poland,differentiating_word,Ministry of Science and Higher Education,Ministry of Science and Higher Education - Poland
government of mali,government of malta,91.9,97.1,no,government of mali,country_name_swap,Government of Mali,Government of Malta
embassy of the republic of poland in amman,embassy of the republic of poland in ankara,91.8,96.3,no,embassy of the republic of poland in ankara,country_name_swap,Embassy of the Republic of Poland in Amman,Embassy of the Republic of Poland in Ankara
embassy of the republic of poland in ankara,embassy of the republic of poland in cairo,91.8,95.0,no,embassy of the republic of poland in ankara,country_name_swap,Embassy of the Republic of Poland in Ankara,Embassy of the Republic of Poland in Cairo
embassy of the republic of poland in beirut,embassy of the republic of poland in cairo,91.8,94.0,no,embassy of the republic of poland in beirut,country_name_swap,Embassy of the Republic of Poland in Beirut,Embassy of the Republic of Poland in Cairo
fundacion desarrollo sostenible,fundacion desarrollo sostenido,91.8,96.6,no,fundacion desarrollo sostenido,country_name_swap,Fundación Desarrollo Sostenible,Fundación Desarrollo Sostenido
service de cooperation au developpement,service laique de cooperation au developpement,91.8,91.7,no,service laique de cooperation au developpement,coder_rejected,Service de Coopération au Développement,Service laïque de coopération au développement
care danmark,care denmark,91.7,91.7,no,care denmark,country_name_swap,CARE Danmark,CARE Denmark
