state,year,n_orgs,n_usaid_funded,n_new_orgs,n_exiting_orgs,treated,post,tp
bdi,2005,98,4,NA,NA,0,0,0
bdi,2006,131,9,33,0,0,0,0
bdi,2007,170,14,44,5,0,0,0
bdi,2008,199,19,55,26,0,0,0
bdi,2009,200,19,34,33,0,0,0
bdi,2010,234,32,60,26,0,1,0
bdi,2011,230,30,31,35,0,1,0
bdi,2012,243,24,47,34,0,1,0
bdi,2013,262,36,53,34,0,1,0
bdi,2014,242,30,37,57,0,1,0
bdi,2015,252,41,41,31,0,1,0
bdi,2016,266,46,39,25,0,1,0
bdi,2017,245,42,21,42,0,1,0
bdi,2018,234,39,35,46,0,1,0
bdi,2019,248,39,47,33,0,1,0
bdi,2020,222,33,29,55,0,1,0
car,2005,35,0,NA,NA,0,0,0
car,2006,40,0,5,0,0,0,0
car,2007,72,4,32,0,0,0,0
car,2008,81,4,17,8,0,0,0
car,2009,90,4,17,8,0,0,0
car,2010,96,6,20,14,0,1,0
car,2011,98,7,12,10,0,1,0
car,2012,106,12,24,16,0,1,0
car,2013,118,25,27,15,0,1,0
car,2014,136,18,41,23,0,1,0
car,2015,151,32,29,14,0,1,0
car,2016,152,36,28,27,0,1,0
car,2017,153,34,26,25,0,1,0
car,2018,146,21,20,27,0,1,0
car,2019,159,25,31,18,0,1,0
car,2020,156,25,30,33,0,1,0
cdi,2005,34,0,NA,NA,0,0,0
cdi,2006,40,1,6,0,0,0,0
cdi,2007,54,1,14,0,0,0,0
cdi,2008,79,5,25,0,0,0,0
cdi,2009,105,7,26,0,0,0,0
cdi,2010,187,17,82,0,0,1,0
cdi,2011,206,23,41,22,0,1,0
cdi,2012,202,29,33,37,0,1,0
cdi,2013,221,28,47,28,0,1,0
cdi,2014,184,23,27,64,0,1,0
cdi,2015,198,25,47,33,0,1,0
cdi,2016,213,28,44,29,0,1,0
cdi,2017,220,27,49,42,0,1,0
cdi,2018,139,12,1,82,0,1,0
cdi,2019,104,10,0,35,0,1,0
cdi,2020,77,4,0,27,0,1,0
chad,2005,38,0,NA,NA,0,0,0
chad,2006,50,0,12,0,0,0,0
chad,2007,93,6,43,0,0,0,0
chad,2008,106,5,24,11,0,0,0
chad,2009,101,6,13,18,0,0,0
chad,2010,141,19,52,12,0,1,0
chad,2011,64,0,0,77,0,1,0
chad,2012,46,0,0,18,0,1,0
chad,2013,31,0,0,15,0,1,0
chad,2014,23,0,0,8,0,1,0
chad,2015,18,0,0,5,0,1,0
chad,2016,10,0,0,8,0,1,0
chad,2017,8,0,0,2,0,1,0
chad,2018,7,0,0,1,0,1,0
chad,2019,5,0,0,2,0,1,0
chad,2020,2,0,0,3,0,1,0
col,2005,26,1,NA,NA,0,0,0
col,2006,27,1,1,0,0,0,0
col,2007,29,3,2,0,0,0,0
col,2008,36,4,7,0,0,0,0
col,2009,40,5,4,0,0,0,0
col,2010,47,6,7,0,0,1,0
col,2011,69,11,22,0,0,1,0
col,2012,97,14,28,0,0,1,0
col,2013,156,18,59,0,0,1,0
col,2014,209,22,53,0,0,1,0
col,2015,310,29,101,0,0,1,0
col,2016,482,39,172,0,0,1,0
col,2017,573,56,142,51,0,1,0
col,2018,642,61,162,93,0,1,0
col,2019,666,58,131,107,0,1,0
col,2020,682,59,130,114,0,1,0
gb,2005,21,0,NA,NA,0,0,0
gb,2006,24,0,3,0,0,0,0
gb,2007,37,0,13,0,0,0,0
gb,2008,50,0,13,0,0,0,0
gb,2009,58,0,8,0,0,0,0
gb,2010,97,1,39,0,0,1,0
gb,2011,98,0,20,19,0,1,0
gb,2012,100,2,23,21,0,1,0
gb,2013,98,1,16,18,0,1,0
gb,2014,95,1,15,18,0,1,0
gb,2015,99,2,22,18,0,1,0
gb,2016,124,1,34,9,0,1,0
gb,2017,120,1,23,27,0,1,0
gb,2018,123,0,21,18,0,1,0
gb,2019,121,0,21,23,0,1,0
gb,2020,117,0,19,23,0,1,0
hti,2005,18,1,NA,NA,1,0,0
hti,2006,20,2,2,0,1,0,0
hti,2007,27,5,7,0,1,0,0
hti,2008,39,7,12,0,1,0,0
hti,2009,42,8,3,0,1,0,0
hti,2010,58,9,16,0,1,1,1
hti,2011,73,12,15,0,1,1,1
hti,2012,93,18,20,0,1,1,1
hti,2013,127,30,34,0,1,1,1
hti,2014,161,40,34,0,1,1,1
hti,2015,216,53,55,0,1,1,1
hti,2016,280,65,64,0,1,1,1
hti,2017,417,116,137,0,1,1,1
hti,2018,403,101,63,77,1,1,1
hti,2019,366,83,47,84,1,1,1
hti,2020,362,82,58,62,1,1,1
lbn,2005,70,2,NA,NA,0,0,0
lbn,2006,112,3,42,0,0,0,0
lbn,2007,188,6,76,0,0,0,0
lbn,2008,200,8,54,42,0,0,0
lbn,2009,211,10,54,43,0,0,0
lbn,2010,249,19,80,42,0,1,0
lbn,2011,272,28,55,32,0,1,0
lbn,2012,296,28,77,53,0,1,0
lbn,2013,298,27,72,70,0,1,0
lbn,2014,273,20,52,77,0,1,0
lbn,2015,323,27,84,34,0,1,0
lbn,2016,345,23,88,66,0,1,0
lbn,2017,373,35,82,54,0,1,0
lbn,2018,395,34,71,49,0,1,0
lbn,2019,400,31,71,66,0,1,0
lbn,2020,410,34,93,83,0,1,0
lib,2005,7,0,NA,NA,0,0,0
lib,2006,7,0,0,0,0,0,0
lib,2007,8,1,1,0,0,0,0
lib,2008,10,2,2,0,0,0,0
lib,2009,13,2,3,0,0,0,0
lib,2010,30,4,17,0,0,1,0
lib,2011,120,14,90,0,0,1,0
lib,2012,121,15,40,39,0,1,0
lib,2013,122,16,43,42,0,1,0
lib,2014,103,11,23,42,0,1,0
lib,2015,108,12,30,25,0,1,0
lib,2016,121,18,35,22,0,1,0
lib,2017,119,23,30,32,0,1,0
lib,2018,133,22,28,14,0,1,0
lib,2019,128,20,17,22,0,1,0
lib,2020,114,19,19,33,0,1,0
mali,2005,42,2,NA,NA,0,0,0
mali,2006,53,7,11,0,0,0,0
mali,2007,68,9,15,0,0,0,0
mali,2008,102,16,34,0,0,0,0
mali,2009,162,22,60,0,0,0,0
