spec,dep_var,term,estimate,std_error,p_value,n,n_orgs
haiti_direct,in_degree,usaid_x_post,1.7124674463805734,1.2257684248802914,0.16991256700541008,584,42
haiti_spillover,in_degree,exposure_x_post,1.2154780889066719,1.0744954675882068,0.2645409780607262,584,42
haiti_joint,in_degree,usaid_x_post,2.7264777412868657,1.5803906791318736,0.09202431574896582,584,42
haiti_joint,in_degree,exposure_x_post,-1.0776275206799752,0.6962893820574906,0.12938640421666878,584,42
haiti_direct,n_funders,usaid_x_post,1.7124674463805734,1.2257684248802914,0.16991256700541008,584,42
haiti_spillover,n_funders,exposure_x_post,1.2154780889066719,1.0744954675882068,0.2645409780607262,584,42
haiti_joint,n_funders,usaid_x_post,2.7264777412868657,1.5803906791318736,0.09202431574896582,584,42
haiti_joint,n_funders,exposure_x_post,-1.0776275206799752,0.6962893820574906,0.12938640421666878,584,42
haiti_direct,sole_usaid_funded,usaid_x_post,-0.27495962868046653,0.14882087517093975,0.07188570033571673,584,42
haiti_spillover,sole_usaid_funded,exposure_x_post,-0.21840455667585176,0.13167794067689065,0.10482322217789268,584,42
haiti_joint,sole_usaid_funded,usaid_x_post,-0.3329258183796917,0.187410924418247,0.08308003208514907,584,42
haiti_joint,sole_usaid_funded,exposure_x_post,0.06160288667938518,0.07272982588049784,0.4019067644519252,584,42
haiti_direct,n_non_usaid_funders,usaid_x_post,1.7370941015930448,1.2260650772306285,0.16409417765771991,584,42
haiti_spillover,n_non_usaid_funders,exposure_x_post,1.2436000214145377,1.0731694431681762,0.2532384839082027,584,42
haiti_joint,n_non_usaid_funders,usaid_x_post,2.71768048168523,1.583429023505222,0.0936501329736743,584,42
haiti_joint,n_non_usaid_funders,exposure_x_post,-1.0421066481272225,0.6897636074410949,0.13850462598377464,584,42
haiti_direct,total_degree,usaid_x_post,-1.4633972096936734,2.539847225246601,0.5676463595292187,584,42
haiti_spillover,total_degree,exposure_x_post,8.517036226119853,7.704630087309927,0.2754120778027407,584,42
haiti_joint,total_degree,usaid_x_post,-45.4343869972649,2.5838371600844705,1.0524579414492218e-20,584,42
haiti_joint,total_degree,exposure_x_post,46.729652494310784,1.640255967050363,1.2147750481200042e-28,584,42
haiti_direct,rewire_in,usaid_x_post,0.029898310779449096,0.0361954737121454,0.4135718014005124,541,42
haiti_spillover,rewire_in,exposure_x_post,0.01150881307797839,0.034996541590919805,0.7439386595739339,541,42
haiti_joint,rewire_in,usaid_x_post,0.07790105361410546,0.03049580410206435,0.014445302884967023,541,42
haiti_joint,rewire_in,exposure_x_post,-0.051531677179087375,0.019521233665591033,0.01167989155343016,541,42
haiti_direct,rewire_out,usaid_x_post,-0.011973848874855227,0.02657619652279347,0.6546890796561236,541,42
haiti_spillover,rewire_out,exposure_x_post,-0.04104686847437127,0.03295131480042885,0.21995286512007312,541,42
haiti_joint,rewire_out,usaid_x_post,0.10667870143674317,0.022341521512897616,2.3067040097091047e-5,541,42
haiti_joint,rewire_out,exposure_x_post,-0.12737532395166312,0.018397610655348503,2.1133943453936045e-8,541,42
