spec,dep_var,term,estimate,std_error,p_value,n,n_orgs
baseline,in_degree,tp,-0.002925075423958004,0.2886469388463949,0.9919155979717742,19759,1981
heterogeneous_direct,in_degree,tp,-0.2831494411783375,0.21490421155814063,0.18780302942112737,19759,1981
heterogeneous_direct,in_degree,tp:pre_usaid_funded,1.7211249980822017,1.167241848346002,0.14049979497600237,19759,1981
spillover_exposure,in_degree,tp,-0.2419134175303124,0.22252845130107715,0.277119499459637,19759,1981
spillover_exposure,in_degree,tp:pre_usaid_exposure_share,1.230505527589023,1.028379705269883,0.23162609003035511,19759,1981
full_direct_spillover,in_degree,tp,-0.238812712216704,0.22186593598798166,0.28188715370470185,19759,1981
full_direct_spillover,in_degree,tp:pre_usaid_funded,2.726842109853825,1.4816158744182064,0.06585154907684218,19759,1981
full_direct_spillover,in_degree,tp:pre_usaid_exposure_share,-1.0713757275870668,0.6547754767503913,0.10194641075322597,19759,1981
baseline,n_funders,tp,-0.002925075423958004,0.2886469388463949,0.9919155979717742,19759,1981
heterogeneous_direct,n_funders,tp,-0.2831494411783375,0.21490421155814063,0.18780302942112737,19759,1981
heterogeneous_direct,n_funders,tp:pre_usaid_funded,1.7211249980822017,1.167241848346002,0.14049979497600237,19759,1981
spillover_exposure,n_funders,tp,-0.2419134175303124,0.22252845130107715,0.277119499459637,19759,1981
spillover_exposure,n_funders,tp:pre_usaid_exposure_share,1.230505527589023,1.028379705269883,0.23162609003035511,19759,1981
full_direct_spillover,n_funders,tp,-0.238812712216704,0.22186593598798166,0.28188715370470185,19759,1981
full_direct_spillover,n_funders,tp:pre_usaid_funded,2.726842109853825,1.4816158744182064,0.06585154907684218,19759,1981
full_direct_spillover,n_funders,tp:pre_usaid_exposure_share,-1.0713757275870668,0.6547754767503913,0.10194641075322597,19759,1981
baseline,sole_usaid_funded,tp,-0.0412713530078099,0.029833244101498693,0.1666977602341862,19759,1981
heterogeneous_direct,sole_usaid_funded,tp,0.0024707680759704018,0.0031928898610536043,0.43912109619184725,19759,1981
heterogeneous_direct,sole_usaid_funded,tp:pre_usaid_funded,-0.26866206963753053,0.14334239795559037,0.06104063702203371,19759,1981
spillover_exposure,sole_usaid_funded,tp,5.534108653967793e-4,0.0038117801833953274,0.884580091300227,19759,1981
spillover_exposure,sole_usaid_funded,tp:pre_usaid_exposure_share,-0.21534775580469762,0.12655756683314964,0.08899122634362408,19759,1981
full_direct_spillover,sole_usaid_funded,tp,1.8906037550781019e-4,0.003714285367718351,0.9594096424157716,19759,1981
full_direct_spillover,sole_usaid_funded,tp:pre_usaid_funded,-0.3204194394787303,0.17760665292294198,0.07136818761426951,19759,1981
full_direct_spillover,sole_usaid_funded,tp:pre_usaid_exposure_share,0.05513636898742602,0.0687226573829506,0.42247420288198356,19759,1981
baseline,n_non_usaid_funders,tp,0.00814124439143063,0.28132726334549374,0.9769163993137571,19759,1981
heterogeneous_direct,n_non_usaid_funders,tp,-0.27615562354300943,0.19931203030019087,0.16604218179614044,19759,1981
heterogeneous_direct,n_non_usaid_funders,tp:pre_usaid_funded,1.7461381167236758,1.1659933793518127,0.13440854277969463,19759,1981
spillover_exposure,n_non_usaid_funders,tp,-0.23638139199823643,0.20635038036483752,0.25212642422540665,19759,1981
spillover_exposure,n_non_usaid_funders,tp:pre_usaid_exposure_share,1.259000556454865,1.0258546245126334,0.2198670416044023,19759,1981
full_direct_spillover,n_non_usaid_funders,tp,-0.23329019432784082,0.2056742672484702,0.25681852475090766,19759,1981
