dep_var,estimate,std_error,p_value,lb,ub,n,n_states,spec
usaid_frag_delta_direct,0.139508385257048,0.012386996131903744,1.3912800702461668e-9,0.11522987283851667,0.16378689767557936,263,19,baseline pooled DiD (ALL states)
usaid_n_partners,31.41919191919194,4.0073329269862805,3.2613195743765316e-7,23.564819382298833,39.273564456085055,304,19,baseline pooled DiD (ALL states)
fragmentation,-0.37698045256231655,0.051824446957662904,9.238712833904512e-7,-0.4785563685993358,-0.2754045365252973,304,19,baseline pooled DiD (ALL states)
usaid_frag_delta_drop_unfunded,0.07846432060609328,0.011463656838908893,2.095092451650401e-6,0.055995553201831846,0.10093308801035471,263,19,baseline pooled DiD (ALL states)
weighted_fragmentation,-0.39742670077146675,0.06393234533286449,7.2577628392517684e-6,-0.5227340976238811,-0.27211930391905237,304,19,baseline pooled DiD (ALL states)
outdegree_centralization,0.13276799559673272,0.022868810467933116,1.682092423335816e-5,0.08794512707958381,0.17759086411388164,304,19,baseline pooled DiD (ALL states)
betweenness_centralization,-0.0010122566792724792,4.838696284285838e-4,0.05088076867865494,-0.001960641150992503,-6.387220755245501e-5,303,19,baseline pooled DiD (ALL states)
usaid_share_partners_no_alt_funder,-0.13027649689257492,0.06334060200407068,0.05450030014276813,-0.25442407682055346,-0.006128916964596387,263,19,baseline pooled DiD (ALL states)
density,-0.014452185245533277,0.009422609905362141,0.1424733758350268,-0.032920500660043074,0.00401613016897652,304,19,baseline pooled DiD (ALL states)
mean_distance,-0.10700330342431444,0.08757348978099869,0.23751827197750627,-0.27864734339507186,0.06464073654644298,304,19,baseline pooled DiD (ALL states)
usaid_n_nodes,-0.07171717171717176,0.06876655669684241,0.3107963891274318,-0.20649962284298287,0.06306527940863935,304,19,baseline pooled DiD (ALL states)
indegree_centralization,-0.019304578126805014,0.021083687172980346,0.37197208344092825,-0.06062860498584649,0.022019448732236463,304,19,baseline pooled DiD (ALL states)
network_efficiency,0.023088286766178794,0.028202096492220507,0.42367978233611314,-0.0321878223585734,0.07836439589093099,304,19,baseline pooled DiD (ALL states)
donor_concentration,0.014131545605321087,0.027009100373644134,0.6072068372685413,-0.038806291127021414,0.06706938233766359,304,19,baseline pooled DiD (ALL states)
modularity,0.0010050932957404522,0.02574370634979515,0.96928644118025,-0.04945257114985804,0.051462757741338946,304,19,baseline pooled DiD (ALL states)
