dep_var,estimate,std_error,p_value,lb,ub,n,n_states,spec
usaid_frag_delta_direct,0.14042981336011562,0.014046483808990982,2.756404902296391e-8,0.11289870509449329,0.16796092162573795,231,17,baseline pooled DiD (exclude som+ssud)
usaid_n_partners,33.97045454545455,3.9465975091410703,2.1185672886936276e-7,26.235123427538053,41.705785663371046,272,17,baseline pooled DiD (exclude som+ssud)
fragmentation,-0.4100558072736604,0.05079060531957566,4.924343087366317e-7,-0.5096053937000287,-0.3105062208472921,272,17,baseline pooled DiD (exclude som+ssud)
weighted_fragmentation,-0.4392297346052036,0.0630576348045955,3.1828138674910096e-6,-0.5628226988222108,-0.3156367703881964,272,17,baseline pooled DiD (exclude som+ssud)
usaid_frag_delta_drop_unfunded,0.08274295134741222,0.01255500854041686,6.214058109245607e-6,0.05813513460819517,0.10735076808662927,231,17,baseline pooled DiD (exclude som+ssud)
outdegree_centralization,0.13046775334813465,0.025022751645369178,8.522543640496452e-5,0.08142316012321107,0.17951234657305823,272,17,baseline pooled DiD (exclude som+ssud)
usaid_share_partners_no_alt_funder,-0.18039606455168178,0.06366522257168857,0.011982775166762633,-0.30517990079219137,-0.0556122283111722,231,17,baseline pooled DiD (exclude som+ssud)
betweenness_centralization,-8.837753235271724e-4,5.270451658457084e-4,0.1129972838594259,-0.001916783848584761,1.4923320153041608e-4,271,17,baseline pooled DiD (exclude som+ssud)
density,-0.01659872203323956,0.010515956599325157,0.13403055667689778,-0.03720999696791687,0.0040125529014377465,272,17,baseline pooled DiD (exclude som+ssud)
usaid_n_nodes,-0.08068181818181823,0.07754474814849867,0.31359655349320087,-0.2326695245528756,0.07130588818923915,272,17,baseline pooled DiD (exclude som+ssud)
indegree_centralization,-0.02071162268031927,0.023709776537057588,0.3952867003383942,-0.06718278469295214,0.0257595393323136,272,17,baseline pooled DiD (exclude som+ssud)
mean_distance,-0.07719253932021332,0.09605506141609688,0.4333894651883268,-0.2654604596957632,0.11107538105533656,272,17,baseline pooled DiD (exclude som+ssud)
network_efficiency,0.010041006607971248,0.030155630748207176,0.7434779184259455,-0.049064029658514814,0.0691460428744573,272,17,baseline pooled DiD (exclude som+ssud)
donor_concentration,0.006084903173313739,0.029812725060363997,0.8408455745828756,-0.05234803794499969,0.06451784429162717,272,17,baseline pooled DiD (exclude som+ssud)
modularity,-0.003848162762110947,0.027290949446718442,0.8896259369396903,-0.05733842367767909,0.0496420981534572,272,17,baseline pooled DiD (exclude som+ssud)
