tag,seed,dep_var,window,estimate,std_error,p_value,n,n_states,lb,ub
1,124,density,+-2,-7.101944184032477e-4,0.003957220767608617,0.8595750504694868,95,19,-0.008466347122916138,0.007045958286109642
1,124,density,+-3,-0.0015302759978413052,0.004861673441149104,0.7565609028958671,133,19,-0.011059155942493548,0.007998603946810937
1,124,density,+-4,-0.0028769904340564018,0.005912775436373624,0.632433306047598,171,19,-0.014466030289348704,0.008712049421235902
1,124,density,+-5,-0.0038043630041281443,0.006367637383490771,0.5576470860238019,209,19,-0.016284932275770055,0.008676206267513767
1,124,density,all,-0.014273960000792512,0.009922908151014766,0.1674574877313714,304,19,-0.033722859976781455,0.005174939975196429
2,125,density,+-2,2.616228631609036e-4,0.004043800919037373,0.9491281509168497,95,19,-0.007664226938152349,0.008187472664474156
2,125,density,+-3,-5.184347289219816e-4,0.004914453329212355,0.9171522498533634,133,19,-0.010150763254178198,0.009113893796334234
2,125,density,+-4,-0.0024865903368023875,0.0056358915410750915,0.6643176589141645,171,19,-0.013532937757309568,0.00855975708370479
2,125,density,+-5,-0.003347337607958023,0.00639054347775689,0.6068106404477664,209,19,-0.01587280282436153,0.009178127608445481
2,125,density,all,-0.013279314424061031,0.00953070371818606,0.1804915855775406,304,19,-0.03195949371170571,0.005400864863583646
3,126,density,+-2,-4.103678672831998e-4,0.004058215161672904,0.9205728450057327,95,19,-0.008364469584162091,0.007543733849595691
3,126,density,+-3,-0.00185465593466405,0.004911516587745063,0.7101333032077168,133,19,-0.011481228446644372,0.007771916577316273
3,126,density,+-4,-0.0037700659773915704,0.005946562404268561,0.5340614689638374,171,19,-0.015425328289757949,0.007885196334974809
3,126,density,+-5,-0.004074279344332279,0.006396625594145239,0.532180564057015,209,19,-0.016611665508856947,0.008463106820192388
3,126,density,all,-0.014337942590290233,0.009860223205449525,0.16312840534221648,304,19,-0.033663980072971306,0.004988094892390837
4,127,density,+-2,-4.585888737295237e-4,0.0044088058941603656,0.9183064154093795,95,19,-0.00909984842628384,0.008182670678824793
4,127,density,+-3,-0.0014677409568528872,0.005468503747665625,0.791444066486541,133,19,-0.012186008302277512,0.009250526388571738
4,127,density,+-4,-0.00358947347242086,0.006352554924363086,0.579018862498677,171,19,-0.016040481124172508,0.008861534179330787
4,127,density,+-5,-0.004878720555456546,0.006963198159841619,0.492483745117301,209,19,-0.01852658894874612,0.008769147837833027
4,127,density,all,-0.01553561370841419,0.01039175673712213,0.15224162641286076,304,19,-0.035903456913173565,0.004832229496345182
5,128,density,+-2,-0.0014341491782027854,0.0035687181454904606,0.6925136188822882,95,19,-0.008428836743364088,0.005560538386958518
5,128,density,+-3,-0.002629552184426073,0.004917019873160937,0.599342699630074,133,19,-0.012266911135821509,0.007007806766969361
5,128,density,+-4,-0.0046990620317405914,0.0056358775438126755,0.41533492296177377,171,19,-0.015745382017613434,0.006347257954132253
5,128,density,+-5,-0.006383847279938192,0.005901367355061815,0.2936404837643012,209,19,-0.017950527295859352,0.005182832735982966
5,128,density,all,-0.01665117218838424,0.00948414415647989,0.09614458697701264,304,19,-0.035240094735084826,0.0019377503583163438
6,129,density,+-2,-3.423619529841979e-4,0.003999376335626574,0.9327263521835842,95,19,-0.008181139570812283,0.007496415664843888
6,129,density,+-3,-0.001382698490153613,0.005203709132969735,0.793478939942545,133,19,-0.011581968390774293,0.008816571410467069
6,129,density,+-4,-0.0031719580207290867,0.005838305364626815,0.5935876946011337,171,19,-0.014615036535397644,0.008271120493939469
6,129,density,+-5,-0.004441950215313654,0.006083672141706837,0.4746990922242377,209,19,-0.016365947613059054,0.007482047182431747
6,129,density,all,-0.014839868844571124,0.009729485938398992,0.14457596659384558,304,19,-0.033909661283833145,0.004229923594690901
7,130,density,+-2,-0.001029336309984563,0.004426008195558125,0.8187227413926085,95,19,-0.009704312373278488,0.007645639753309362
7,130,density,+-3,-0.0013607883698751825,0.0054876462202343036,0.8069620510823213,133,19,-0.012116574961534418,0.009394998221784053
7,130,density,+-4,-0.0028548935996160546,0.006366086974539917,0.6591775144742149,171,19,-0.01533242406971429,0.009622636870482183
7,130,density,+-5,-0.004845332065754472,0.006470536946041336,0.4636335161782793,209,19,-0.01752758447999549,0.007836920348486546
7,130,density,all,-0.01487184543693917,0.009752830331800537,0.1446682760415541,304,19,-0.03398739288726822,0.0042437020133898815
8,131,density,+-2,-6.517554984523637e-5,0.004390739055665714,0.9883200353904391,95,19,-0.008671024098950035,0.008540672999259563
8,131,density,+-3,-0.0010806720278349294,0.005150416535203043,0.8361629985803878,133,19,-0.011175488436832894,0.009014144381163033
8,131,density,+-4,-0.002837795252841098,0.0058199740459563476,0.6317218218427619,171,19,-0.014244944382915539,0.008569353877233343
8,131,density,+-5,-0.003748610530444573,0.006528525307886308,0.5729458349171535,209,19,-0.016544520133901737,0.00904729907301259
8,131,density,all,-0.016757035397675615,0.011833952773926553,0.1738435916718196,304,19,-0.03995158283457166,0.006437512039220428
9,132,density,+-2,7.351440868302236e-4,0.0034620649978969052,0.8342257707275034,95,19,-0.006050503309047711,0.007520791482708158
9,132,density,+-3,-0.0013367955182728747,0.004224909371784931,0.7553326780305314,133,19,-0.009617617886971339,0.00694402685042559
9,132,density,+-4,-0.0041785502393801065,0.004833044792208548,0.3986456209564979,171,19,-0.01365131803210886,0.005294217553348648
9,132,density,+-5,-0.004972062238854225,0.005556975039256947,0.3827334011304696,209,19,-0.01586373331579784,0.005919608838089392
